brand,name,rarity,item_type,card_number,set_code,psa10_price,min_price,souba,note,url,apparel_id,product_number,priced_at,ask_price,official_name,mintore_name
ドラゴンボール,孫悟空,C,single,UGM10-001,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146383,146383,SDBH-TCG-UGM10-001,2026-09-22 08:47,,孫悟空 C[UGM10-001](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空 C [UGM10-001]
ドラゴンボール,孫悟飯：少年期,C,single,UGM10-002,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146384,146384,SDBH-TCG-UGM10-002,2026-09-23 08:46,,孫悟飯：少年期 C[UGM10-002](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟飯: 少年期 C [UGM10-002]
ドラゴンボール,孫悟飯：青年期,C,single,UGM10-003,,,0,,PSA10成約なし,https://snkrdunk.com/apparels/146385,146385,SDBH-TCG-UGM10-003,2026-09-24 08:51,,孫悟飯：青年期 C[UGM10-003](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟飯: 青年期 C [UGM10-003]
ドラゴンボール,ベジータ,C,single,UGM10-004,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146386,146386,SDBH-TCG-UGM10-004,2026-09-18 08:46,,ベジータ C[UGM10-004](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ベジータ C [UGM10-004]
ドラゴンボール,ピッコロ,C,single,UGM10-005,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146387,146387,SDBH-TCG-UGM10-005,2026-09-19 08:47,,ピッコロ C[UGM10-005](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ピッコロ C [UGM10-005]
ドラゴンボール,ミスター・サタン,C,single,UGM10-006,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146388,146388,SDBH-TCG-UGM10-006,2026-09-20 08:46,,ミスター・サタン C[UGM10-006](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ミスター・サタン C [UGM10-006]
ドラゴンボール,バーダック,C,single,UGM10-007,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146389,146389,SDBH-TCG-UGM10-007,2026-09-21 08:46,,バーダック C[UGM10-007](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),バーダック C [UGM10-007]
ドラゴンボール,魔人ブウ：善,C,single,UGM10-008,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146390,146390,SDBH-TCG-UGM10-008,2026-09-22 08:47,,魔人ブウ：善 C[UGM10-008](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),魔人ブウ: 善 C [UGM10-008]
ドラゴンボール,ミラ,C,single,UGM10-009,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146391,146391,SDBH-TCG-UGM10-009,2026-09-23 08:46,,ミラ C[UGM10-009](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ミラ C [UGM10-009]
ドラゴンボール,トワ,R,single,UGM10-010,,,0,,PSA10成約なし,https://snkrdunk.com/apparels/146392,146392,SDBH-TCG-UGM10-010,2026-09-24 08:51,,トワ R[UGM10-010](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),トワ R [UGM10-010]
ドラゴンボール,孫悟空：少年期,R,single,UGM10-011,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146393,146393,SDBH-TCG-UGM10-011,2026-09-18 08:46,,孫悟空：少年期 R[UGM10-011](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空: 少年期 R [UGM10-011]
ドラゴンボール,孫悟空：少年期,R,single,UGM10-011 DA,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146394,146394,SDBH-TCG-UGM10-011-DA,2026-09-19 08:47,,孫悟空：少年期 R[UGM10-011 DA](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空: 少年期 R [UGM10-011 DA]
ドラゴンボール,孫悟空：少年期,C,single,UGM10-012,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146395,146395,SDBH-TCG-UGM10-012,2026-09-20 08:46,,孫悟空：少年期 C[UGM10-012](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空: 少年期 C [UGM10-012]
ドラゴンボール,クリリン：少年期,C,single,UGM10-013,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146396,146396,SDBH-TCG-UGM10-013,2026-09-21 08:46,,クリリン：少年期 C[UGM10-013](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),クリリン: 少年期 C [UGM10-013]
ドラゴンボール,亀仙人,SR,single,UGM10-014,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146397,146397,SDBH-TCG-UGM10-014,2026-09-22 08:47,,亀仙人 SR[UGM10-014](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),亀仙人 SR [UGM10-014]
ドラゴンボール,天津飯,SR,single,UGM10-015,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146398,146398,SDBH-TCG-UGM10-015,2026-09-23 08:46,,天津飯 SR[UGM10-015](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),天津飯 SR [UGM10-015]
ドラゴンボール,餃子,C,single,UGM10-016,,,0,,PSA10成約なし,https://snkrdunk.com/apparels/146399,146399,SDBH-TCG-UGM10-016,2026-09-24 08:51,,餃子 C[UGM10-016](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),餃子 C [UGM10-016]
ドラゴンボール,ムラサキ曹長,C,single,UGM10-017,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146400,146400,SDBH-TCG-UGM10-017,2026-09-18 08:46,,ムラサキ曹長 C[UGM10-017](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ムラサキ曹長 C [UGM10-017]
ドラゴンボール,ブルー将軍,C,single,UGM10-018,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146401,146401,SDBH-TCG-UGM10-018,2026-09-19 08:47,,ブルー将軍 C[UGM10-018](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ブルー将軍 C [UGM10-018]
ドラゴンボール,ピッコロ大魔王,R,single,UGM10-019,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146402,146402,SDBH-TCG-UGM10-019,2026-09-20 08:46,,ピッコロ大魔王 R[UGM10-019](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ピッコロ大魔王 R [UGM10-019]
ドラゴンボール,ピッコロ大魔王,R,single,UGM10-020,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146403,146403,SDBH-TCG-UGM10-020,2026-09-21 08:46,,ピッコロ大魔王 R[UGM10-020](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ピッコロ大魔王 R [UGM10-020]
ドラゴンボール,神様,R,single,UGM10-021,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146404,146404,SDBH-TCG-UGM10-021,2026-09-22 08:47,,神様 R[UGM10-021](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),神様 R [UGM10-021]
ドラゴンボール,孫悟空,SR,single,UGM10-022,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146405,146405,SDBH-TCG-UGM10-022,2026-09-23 08:46,,孫悟空 SR[UGM10-022](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空 SR [UGM10-022]
ドラゴンボール,孫悟空,SR,single,UGM10-022 DA,,,0,,PSA10成約なし,https://snkrdunk.com/apparels/146406,146406,SDBH-TCG-UGM10-022-DA,2026-09-24 08:51,,孫悟空 SR[UGM10-022 DA](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空 SR [UGM10-022 DA]
ドラゴンボール,孫悟空,UR,single,UGM10-023,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146407,146407,SDBH-TCG-UGM10-023,2026-09-18 08:46,,孫悟空 UR[UGM10-023](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空 UR [UGM10-023]
ドラゴンボール,孫悟飯：幼年期,C,single,UGM10-024,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146408,146408,SDBH-TCG-UGM10-024,2026-09-19 08:47,,孫悟飯：幼年期 C[UGM10-024](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟飯: 幼年期 C [UGM10-024]
ドラゴンボール,クリリン,UR,single,UGM10-025,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146409,146409,SDBH-TCG-UGM10-025,2026-09-20 08:46,,クリリン UR[UGM10-025](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),クリリン UR [UGM10-025]
ドラゴンボール,ピッコロ,C,single,UGM10-026,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146410,146410,SDBH-TCG-UGM10-026,2026-09-21 08:46,,ピッコロ C[UGM10-026](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ピッコロ C [UGM10-026]
ドラゴンボール,ベジータ,UR,single,UGM10-027,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146411,146411,SDBH-TCG-UGM10-027,2026-09-22 08:47,,ベジータ UR[UGM10-027](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ベジータ UR [UGM10-027]
ドラゴンボール,ナッパ,SR,single,UGM10-028,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146412,146412,SDBH-TCG-UGM10-028,2026-09-23 08:46,,ナッパ SR[UGM10-028](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ナッパ SR [UGM10-028]
ドラゴンボール,栽培マン,C,single,UGM10-029,,,0,,PSA10成約なし,https://snkrdunk.com/apparels/146413,146413,SDBH-TCG-UGM10-029,2026-09-24 08:51,,栽培マン C[UGM10-029](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),栽培マン C [UGM10-029]
ドラゴンボール,孫悟空,C,single,UGM10-030,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146414,146414,SDBH-TCG-UGM10-030,2026-09-18 08:46,,孫悟空 C[UGM10-030](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空 C [UGM10-030]
ドラゴンボール,孫悟飯：青年期,C,single,UGM10-031,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146415,146415,SDBH-TCG-UGM10-031,2026-09-19 08:47,,孫悟飯：青年期 C[UGM10-031](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟飯: 青年期 C [UGM10-031]
ドラゴンボール,孫悟天,R,single,UGM10-032,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146416,146416,SDBH-TCG-UGM10-032,2026-09-20 08:46,,孫悟天 R[UGM10-032](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟天 R [UGM10-032]
ドラゴンボール,ベジータ,C,single,UGM10-033,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146417,146417,SDBH-TCG-UGM10-033,2026-09-21 08:46,,ベジータ C[UGM10-033](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ベジータ C [UGM10-033]
ドラゴンボール,トランクス：幼年期,R,single,UGM10-034,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146418,146418,SDBH-TCG-UGM10-034,2026-09-22 08:47,,トランクス：幼年期 R[UGM10-034](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),トランクス: 幼年期 R [UGM10-034]
ドラゴンボール,ビーデル,C,single,UGM10-035,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146419,146419,SDBH-TCG-UGM10-035,2026-09-23 08:46,,ビーデル C[UGM10-035](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ビーデル C [UGM10-035]
ドラゴンボール,ビルス,C,single,UGM10-036,,,0,,PSA10成約なし,https://snkrdunk.com/apparels/146420,146420,SDBH-TCG-UGM10-036,2026-09-24 08:51,,ビルス C[UGM10-036](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ビルス C [UGM10-036]
ドラゴンボール,ウイス,C,single,UGM10-037,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146421,146421,SDBH-TCG-UGM10-037,2026-09-18 08:46,,ウイス C[UGM10-037](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ウイス C [UGM10-037]
ドラゴンボール,孫悟空：GT,C,single,UGM10-038,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146422,146422,SDBH-TCG-UGM10-038,2026-09-19 08:47,,孫悟空：GT C[UGM10-038](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空: GT C [UGM10-038]
ドラゴンボール,孫悟空：GT,UR,single,UGM10-039,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146423,146423,SDBH-TCG-UGM10-039,2026-09-20 08:46,,孫悟空：GT UR[UGM10-039](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空: GT UR [UGM10-039]
ドラゴンボール,孫悟飯：GT,R,single,UGM10-040,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146424,146424,SDBH-TCG-UGM10-040,2026-09-21 08:46,,孫悟飯：GT R[UGM10-040](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟飯: GT R [UGM10-040]
ドラゴンボール,孫悟天：GT,C,single,UGM10-041,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146425,146425,SDBH-TCG-UGM10-041,2026-09-22 08:47,,孫悟天：GT C[UGM10-041](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟天: GT C [UGM10-041]
ドラゴンボール,トランクス：GT,SR,single,UGM10-042,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146426,146426,SDBH-TCG-UGM10-042,2026-09-23 08:46,,トランクス：GT SR[UGM10-042](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),トランクス: GT SR [UGM10-042]
ドラゴンボール,パン,C,single,UGM10-043,,,0,,PSA10成約なし,https://snkrdunk.com/apparels/146427,146427,SDBH-TCG-UGM10-043,2026-09-24 08:51,,パン C[UGM10-043](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),パン C [UGM10-043]
ドラゴンボール,孫悟空,C,single,UGM10-044,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146428,146428,SDBH-TCG-UGM10-044,2026-09-18 08:46,,孫悟空 C[UGM10-044](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空 C [UGM10-044]
ドラゴンボール,孫悟空,UR,single,UGM10-045,,,4000,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146429,146429,SDBH-TCG-UGM10-045,2026-09-19 08:47,,孫悟空 UR[UGM10-045](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空 UR [UGM10-045]
ドラゴンボール,孫悟飯：青年期,C,single,UGM10-046,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146430,146430,SDBH-TCG-UGM10-046,2026-09-20 08:46,,孫悟飯：青年期 C[UGM10-046](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟飯: 青年期 C [UGM10-046]
ドラゴンボール,孫悟空：ゼノ,SR,single,UGM10-047,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146431,146431,SDBH-TCG-UGM10-047,2026-09-21 08:46,,孫悟空：ゼノ SR[UGM10-047](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟空: ゼノ SR [UGM10-047]
ドラゴンボール,ベジータ：ゼノ,R,single,UGM10-048,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146432,146432,SDBH-TCG-UGM10-048,2026-09-22 08:47,,ベジータ：ゼノ R[UGM10-048](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),ベジータ: ゼノ R [UGM10-048]
ドラゴンボール,孫悟飯：ゼノ,R,single,UGM10-049,,,0,,取引履歴なし（希少）,https://snkrdunk.com/apparels/146433,146433,SDBH-TCG-UGM10-049,2026-09-23 08:46,,孫悟飯：ゼノ R[UGM10-049](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟飯: ゼノ R [UGM10-049]
ドラゴンボール,孫悟天：ゼノ,R,single,UGM10-050,,,0,,PSA10成約なし,https://snkrdunk.com/apparels/146434,146434,SDBH-TCG-UGM10-050,2026-09-24 08:51,,孫悟天：ゼノ R[UGM10-050](スーパードラゴンボールヒーローズ  ウルトラゴッドミッション 10弾),孫悟天: ゼノ R [UGM10-050]
