brand,name,rarity,item_type,card_number,set_code,psa10_price,min_price,souba,note,url,apparel_id,product_number,priced_at,ask_price,official_name,mintore_name
ワンピ,シャンクス SEC-P,,single,OP01-120,,16000,3000,14800,直近PSA10販売 3日前,https://snkrdunk.com/apparels/93512,93512,OP01-120,2026-09-25 08:30,14800,シャンクス SEC-P [OP01-120] (ブースターパック ロマンスドーン),シャンクス SEC-P [OP01-120](ブースターパック ロマンスドーン)
ワンピ,ヤマト SEC-P,,single,OP01-121,,15900,4500,15590,直近PSA10販売 2026/09/09,https://snkrdunk.com/apparels/93511,93511,OP01-121,2026-09-25 08:30,15590,ヤマト SEC-P [OP01-121] (ブースターパック ロマンスドーン),ヤマト SEC-P [OP01-121](ブースターパック ロマンスドーン)
ワンピ,モンキー・D・ルフィ SR-P,,single,OP01-024,,15500,4000,15000,直近PSA10販売 1日前,https://snkrdunk.com/apparels/93513,93513,OP01-024,2026-09-25 08:30,15000,モンキー・D・ルフィ SR-P [OP01-024] (ブースターパック ロマンスドーン),モンキー・D・ルフィ SR-P [OP01-024](ブースターパック ロマンスドーン)
ワンピ,ジュラキュール・ミホーク SR-P,,single,OP01-070,,19800,2000,,直近PSA10販売 2026/07/11,https://snkrdunk.com/apparels/93515,93515,OP01-070,2026-09-25 08:30,,ジュラキュール・ミホーク SR-P [OP01-070] (ブースターパック ロマンスドーン),ジュラキュール・ミホーク SR-P [OP01-070](ブースターパック ロマンスドーン)
ワンピ,ヤマト,SEC,single,OP01-121,,8000,1000,7700,直近PSA10販売 2026/09/08,https://snkrdunk.com/apparels/93517,93517,OP01-121,2026-09-25 08:30,7700,ヤマト SEC [OP01-121] (ブースターパック ロマンスドーン),ヤマト SEC [OP01-121](ブースターパック ロマンスドーン)
ワンピ,ロロノア・ゾロ SR-P,,single,OP01-025,,15500,6000,14500,直近PSA10販売 2日前,https://snkrdunk.com/apparels/93514,93514,OP01-025,2026-09-25 08:30,14500,ロロノア・ゾロ SR-P [OP01-025] (ブースターパック ロマンスドーン),ロロノア・ゾロ SR-P [OP01-025]
ワンピ,ボア・ハンコック SR-P,,single,OP01-078,,15000,5500,14500,直近PSA10販売 7時間前,https://snkrdunk.com/apparels/93516,93516,OP01-078,2026-09-25 08:30,14500,ボア・ハンコック SR-P [OP01-078] (ブースターパック ロマンスドーン),ボア・ハンコック SR-P [OP01-078](ブースターパック ロマンスドーン)
ワンピ,うるティ R-P,,single,OP01-093,,12000,3999,10999,直近PSA10販売 2026/07/28,https://snkrdunk.com/apparels/93518,93518,OP01-093,2026-09-25 08:30,10999,うるティ R-P [OP01-093] (ブースターパック ロマンスドーン),うるティ R-P [OP01-093]
ワンピ,モンキー・D・ルフィ L-P,,single,OP01-003,,81000,49999,81900,直近PSA10販売 8時間前,https://snkrdunk.com/apparels/93519,93519,OP01-003,2026-09-25 08:30,81900,モンキー・D・ルフィ L-P [OP01-003] (ブースターパック ロマンスドーン),モンキー・D・ルフィ L-P [OP01-003]
ワンピ,トラファルガー・ロー L-P,,single,OP01-002,,26999,10000,26999,直近PSA10販売 2026/09/20,https://snkrdunk.com/apparels/93522,93522,OP01-002,2026-09-25 08:30,26999,トラファルガー・ロー L-P [OP01-002] (ブースターパック ロマンスドーン),トラファルガー・ロー L-P [OP01-002]
