brand,name,rarity,item_type,card_number,set_code,psa10_price,min_price,souba,note,url,apparel_id,product_number,priced_at,ask_price,official_name,mintore_name
ポケカ,サイトウ,プロモ,single,229,S-P,14980,3650,14600,直近PSA10販売 2026/08/13,https://snkrdunk.com/apparels/91108,91108,pkmn-tcg-8,2026-09-25 08:01,14600,サイトウ: プロモ[S-P 229](プロモーションカード「S-P」),サイトウ: プロモ [S-P 229]
ポケカ,ブースターVMAX 夏ポケカ,プロモ,single,186,S-P,666000,1100000,630000,直近PSA10販売 2026/09/17,https://snkrdunk.com/apparels/91106,91106,pkmn-tcg-4,2026-09-25 08:01,630000,ブースターVMAX 夏ポケカ: プロモ[S-P 186](プロモーションカード「S-P」),ブースターVMAX 夏ポケカ: プロモ [S-P 186]
ポケカ,カメックス: 旧裏/,プロモ,single,PMCG-P No.009,,240000,22000,245000,直近PSA10販売 2026/08/31,https://snkrdunk.com/apparels/91104,91104,pkmn-tcg-1344,2026-09-25 08:01,245000,カメックス: 旧裏/プロモ[PMCG-P No.009](プロモーションカード「PMCG-P」),カメックス: 旧裏/プロモ [PMCG-P No.009]
ポケカ,リザードンVMAX HR: 争奪戦,プロモ,single,104,S-P,1800000,1690000,1845000,直近PSA10販売 2026/09/17,https://snkrdunk.com/apparels/91103,91103,pkmn-tcg-1,2026-09-25 08:01,1845000,リザードンVMAX HR: 争奪戦プロモ[S-P 104](プロモーションカード「S-P」),リザードンVMAX HR: 争奪戦プロモ [S-P 104]
ポケカ,リザードンV SR: 争奪戦,プロモ,single,103,S-P,345000,298000,300000,直近PSA10販売 2026/09/17,https://snkrdunk.com/apparels/91105,91105,pkmn-tcg-3,2026-09-25 08:01,300000,リザードンV SR: 争奪戦プロモ[S-P 103](プロモーションカード「S-P」),リザードンV SR: 争奪戦プロモ [S-P 103]
ポケカ,フシギバナ: 旧裏/,プロモ,single,PMCG-P No.003,,233700,5000,170000,直近PSA10販売 2026/07/19,https://snkrdunk.com/apparels/91107,91107,pkmn-tcg-1343,2026-09-25 08:01,170000,フシギバナ: 旧裏/プロモ[PMCG-P No.003](プロモーションカード「PMCG-P」),フシギバナ: 旧裏/プロモ [PMCG-P No.003]
ポケカ,おいわいファンファーレ,プロモ,single,254,S-P,66000,17000,75000,直近PSA10販売 2026/09/06,https://snkrdunk.com/apparels/91109,91109,pkmn-tcg-9,2026-09-25 08:01,75000,おいわいファンファーレ: プロモ[S-P 254](プロモーションカード「S-P」2021),おいわいファンファーレ: プロモ [S-P 254]
ポケカ,バチンウニV,プロモ,single,033,S-P,19000,18000,24000,直近PSA10販売 2026/07/29,https://snkrdunk.com/apparels/91111,91111,pkmn-tcg-12,2026-09-25 08:01,24000,バチンウニV: プロモ[S-P 033](プロモーションカード「S-P」),バチンウニV: プロモ [S-P 033]
ポケカ,げんきのハチマキ,プロモ,single,136,S-P,,,,取引履歴なし（希少）,https://snkrdunk.com/apparels/91112,91112,pkmn-tcg-13,2026-09-23 08:01,,げんきのハチマキ: プロモ[S-P 136](プロモーションカード「S-P」),げんきのハチマキ: プロモ [S-P 136]
ポケカ,ニャースVMAX,プロモ,single,029,S-P,36000,22000,32999,直近PSA10販売 2026/09/04,https://snkrdunk.com/apparels/91110,91110,pkmn-tcg-11,2026-09-25 08:01,32999,ニャースVMAX: プロモ[S-P 029](プロモーションカード「S-P」),ニャースVMAX: プロモ [S-P 029]
ポケカ,マリィ（マリィの練習）,プロモ,single,140,S-P,28900,7000,27500,直近PSA10販売 2日前,https://snkrdunk.com/apparels/91114,91114,pkmn-tcg-15,2026-09-25 08:01,27500,マリィ（マリィの練習）: プロモ[S-P 140](プロモーションカード「S-P」),マリィ(マリィの練習): プロモ [S-P 140]
ポケカ,カナザワのピカチュウ: プロモ (マークなし),プロモ,single,147,S-P,163500,79999,139000,直近PSA10販売 2026/09/14,https://snkrdunk.com/apparels/91113,91113,pkmn-tcg-14,2026-09-25 08:01,139000,カナザワのピカチュウ: プロモ (マークなし) [S-P 147](プロモーションカード「S-P」),カナザワのピカチュウ: プロモ (マークなし) [S-P 147]
ポケカ,イエッサンV 2020,プロモ,single,059,S-P,20000,29800,39800,直近PSA10販売 2026/05/16,https://snkrdunk.com/apparels/91115,91115,pkmn-tcg-17,2026-09-25 08:01,39800,イエッサンV 2020: プロモ[S-P 059](プロモーションカード「S-P」),イエッサンV 2020: プロモ [S-P 059]
ポケカ,ルリナ,プロモ,single,231,S-P,50000,4000,,直近PSA10販売 2026/09/10,https://snkrdunk.com/apparels/91117,91117,pkmn-tcg-22,2026-09-25 08:01,,ルリナ: プロモ[S-P 231](プロモーションカード「S-P」),ルリナ: プロモ [S-P 231]
ポケカ,あなぬけのヒモ,プロモ,single,245,S-P,,,,取引履歴なし（希少）,https://snkrdunk.com/apparels/91116,91116,pkmn-tcg-21,2026-09-20 08:01,,あなぬけのヒモ: プロモ[S-P 245](プロモーションカード「S-P」),あなぬけのヒモ: プロモ [S-P 245]
ポケカ,ともだちてちょう,プロモ,single,031,S-P,,,,取引履歴なし（希少）,https://snkrdunk.com/apparels/91120,91120,pkmn-tcg-25,2026-09-24 08:04,,ともだちてちょう: プロモ[S-P 031](プロモーションカード「S-P」),ともだちてちょう: プロモ [S-P 031]
ポケカ,ウッウ,プロモ,single,226,S-P,80000,43000,83000,直近PSA10販売 13時間前,https://snkrdunk.com/apparels/91119,91119,pkmn-tcg-S-P-227-226,2026-09-25 08:01,83000,ウッウ: プロモ[S-P 226](ポケモン切手BOXプロモーションカード 見返り美人・月に雁「S-P」),ウッウ: プロモ [S-P 226]
ポケカ,ピカチュウ,プロモ,single,227,S-P,438000,349999,429999,直近PSA10販売 7時間前,https://snkrdunk.com/apparels/91118,91118,pkmn-tcg-S-P-227-226,2026-09-25 08:01,429999,ピカチュウ: プロモ[S-P 227](プロモーションカード 「ポケモン切手BOX 見返り美人・月に雁セット」),ピカチュウ: プロモ [S-P 227]
ポケカ,救助隊DXのピカチュウ,プロモ,single,036,S-P,168000,19800,127980,直近PSA10販売 2026/09/09,https://snkrdunk.com/apparels/91121,91121,pkmn-tcg-26,2026-09-25 08:01,127980,救助隊DXのピカチュウ: プロモ[S-P 036](プロモーションカード「S-P」),救助隊DXのピカチュウ: プロモ [S-P 036]
ポケカ,ウッウロボ,プロモ,single,182,S-P,,,,取引履歴なし（希少）,https://snkrdunk.com/apparels/91123,91123,pkmn-tcg-28,2026-09-20 08:01,,ウッウロボ: プロモ[S-P 182](ポケモンカードゲーム ソード&シールド 「プロモカードパック 第6弾」),ウッウロボ: プロモ [S-P 182]
ポケカ,メッソン カナザワ,プロモ,single,146,S-P,15000,11000,12000,直近PSA10販売 2026/09/13,https://snkrdunk.com/apparels/91125,91125,pkmn-tcg-30,2026-09-25 08:01,12000,メッソン カナザワ: プロモ[S-P 146](プロモーションカード「S-P」),メッソン カナザワ: プロモ [S-P 146]
ポケカ,ミロカロス カナザワ,プロモ,single,145,S-P,21000,29500,25800,直近PSA10販売 1日前,https://snkrdunk.com/apparels/91124,91124,pkmn-tcg-29,2026-09-25 08:01,25800,ミロカロス カナザワ: プロモ[S-P 145](プロモーションカード「S-P」),ミロカロス カナザワ: プロモ [S-P 145]
ポケカ,セレビィV,プロモ,single,175,S-P,30500,15000,28500,直近PSA10販売 2026/09/18,https://snkrdunk.com/apparels/91126,91126,pkmn-tcg-31,2026-09-25 08:01,28500,セレビィV: プロモ[S-P 175](プロモーションカード「白銀のランス・漆黒のガイスト 2BOX購入キャンペーン」),セレビィV: プロモ [S-P 175]
ポケカ,名探偵ピカチュウ,プロモ,single,099,S-P,120000,35800,113500,直近PSA10販売 2026/09/09,https://snkrdunk.com/apparels/91122,91122,pkmn-tcg-27,2026-09-25 08:01,113500,名探偵ピカチュウ: プロモ[S-P 099](プロモーションカード「S-P」),名探偵ピカチュウ: プロモ [S-P 099]
