brand,name,rarity,item_type,card_number,set_code,psa10_price,min_price,souba,note,url,apparel_id,product_number,priced_at,ask_price,official_name,mintore_name
遊戯王,遊戯王OCG デュエルモンスターズ エターニティ・コード ボックス,,box,,,,40000,40000,,https://snkrdunk.com/apparels/12903,12903,ygo-1,2026-09-26 08:37,,遊戯王OCG デュエルモンスターズ エターニティ・コード ボックス,遊戯王OCG デュエルモンスターズ エターニティ・コード ボックス
遊戯王,遊戯王OCG デュエルモンスターズ イグニッション・アサルト ボックス,,box,,,,26700,26700,,https://snkrdunk.com/apparels/12904,12904,ygo-2,2026-09-26 08:37,,遊戯王OCG デュエルモンスターズ イグニッション・アサルト ボックス,遊戯王OCG デュエルモンスターズ イグニッション・アサルト ボックス
遊戯王,遊戯王OCG デュエルモンスターズ ダーク・ネオストーム ボックス,,box,,,,12000,12000,,https://snkrdunk.com/apparels/12905,12905,ygo-3,2026-09-26 08:37,,遊戯王OCG デュエルモンスターズ ダーク・ネオストーム ボックス,遊戯王OCG デュエルモンスターズ ダーク・ネオストーム ボックス
遊戯王,遊戯王OCG デュエルモンスターズ ソウル・フュージョン ボックス,,box,,,,12999,12999,,https://snkrdunk.com/apparels/12906,12906,ygo-4,2026-09-26 08:37,,遊戯王OCG デュエルモンスターズ ソウル・フュージョン ボックス,遊戯王OCG デュエルモンスターズ ソウル・フュージョン ボックス
遊戯王,遊戯王OCG デュエルモンスターズ フレイムズ・オブ・デストラクション ボックス,,box,,,,20000,20000,,https://snkrdunk.com/apparels/12907,12907,ygo-5,2026-09-26 08:37,,遊戯王OCG デュエルモンスターズ フレイムズ・オブ・デストラクション ボックス,遊戯王OCG デュエルモンスターズ フレイムズ・オブ・デストラクション ボックス
遊戯王,遊戯王 OCG デュエルモンスターズ デュエリストパック レジェンドデュエリスト編6 ボックス,,box,,,,4300,4300,,https://snkrdunk.com/apparels/12909,12909,ygo-7,2026-09-26 08:37,,遊戯王 OCG デュエルモンスターズ デュエリストパック レジェンドデュエリスト編6 ボックス,遊戯王 OCG デュエルモンスターズ デュエリストパック レジェンドデュエリスト編6 ボックス
遊戯王,遊戯王 OCG デュエルモンスターズ プレミアム パック 2021 ボックス,,box,,,,2299,2299,,https://snkrdunk.com/apparels/12910,12910,ygo-8,2026-09-25 08:36,,遊戯王 OCG デュエルモンスターズ プレミアム パック 2021 ボックス,遊戯王 OCG デュエルモンスターズ プレミアム パック 2021 ボックス
遊戯王,遊戯王OCG デュエルモンスターズ プリズマティック アートコレクション ボックス,,box,,,,6400,6400,,https://snkrdunk.com/apparels/12912,12912,ygo-10,2026-09-26 08:37,,遊戯王OCG デュエルモンスターズ プリズマティック アートコレクション ボックス,遊戯王OCG デュエルモンスターズ プリズマティック アートコレクション ボックス
遊戯王,遊戯王OCG デュエルモンスターズ ライズ・オブ・ザ・デュエリスト ボックス(+1プラスワンボーナスパック付き),,box,,,,6000,6000,,https://snkrdunk.com/apparels/12913,12913,ygo-11,2026-09-26 08:37,,遊戯王OCG デュエルモンスターズ ライズ・オブ・ザ・デュエリスト ボックス(+1プラスワンボーナスパック付き),遊戯王OCG デュエルモンスターズ ライズ・オブ・ザ・デュエリスト ボックス(+1プラスワンボーナスパック付き)
遊戯王,遊戯王OCG デュエルモンスターズ デュエリストパック 疾風のデュエリスト編 ボックス,,box,,,,1999,1999,,https://snkrdunk.com/apparels/12914,12914,ygo-12,2026-09-22 08:36,,遊戯王OCG デュエルモンスターズ デュエリストパック 疾風のデュエリスト編 ボックス,遊戯王OCG デュエルモンスターズ デュエリストパック 疾風のデュエリスト編 ボックス
