元の表記,状態,みんトレ表記,apparel_id,出どころ,件数,候補,理由
PT交換専用カード,対象外,,,管理画面,1048,,ポイント交換・演出（発送しない）
2pt交換専用,対象外,,,管理画面,135,,ポイント交換・演出（発送しない）
1pt交換専用,対象外,,,管理画面,121,,ポイント交換・演出（発送しない）
Nintendo Switch2(日本語・国内専用),確定,Nintendo Switch2(日本語・国内専用),,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,107,,スニダン外の商品（mintore_non_snkr.csv）
メガブレイブ(1BOX),確定,ポケモンカードゲームMEGA 拡張パック「メガブレイブ」ボックス,628146,仕入れ管理シート・商品ごとの不足数・管理画面,102,628146:ポケモンカードゲームMEGA 拡張パック「メガブレイブ」ボックス(3) || 658648:【シュリンクなし】ポケモンカードゲームMEGA 拡張パック「メガブレイブ」ボックス(1) || 628147:ポケモンカードゲームMEGA 拡張パック「メガブレイブ」パック(0) || 628198:ポケモンカードゲームMEGA ポケモンセンターセット「メガブレイブ」(-2),型番なし・名前で一致
メガシンフォニア(1BOX),確定,ポケモンカードゲームMEGA 拡張パック「メガシンフォニア」ボックス,628148,仕入れ管理シート・商品ごとの不足数・管理画面,90,628148:ポケモンカードゲームMEGA 拡張パック「メガシンフォニア」ボックス(3) || 658649:【シュリンクなし】ポケモンカードゲームMEGA 拡張パック「メガシンフォニア」ボックス(1) || 628149:ポケモンカードゲームMEGA 拡張パック「メガシンフォニア」パック(0) || 628199:ポケモンカードゲームMEGA ポケモンセンターセット「メガシンフォニア」(-2),型番なし・名前で一致
バトルパートナーズ(1BOX),確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「バトルパートナーズ」ボックス,484952,仕入れ管理シートF列・管理画面,89,484952:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「バトルパートナーズ」ボックス(3) || 485656:ポケモンカードゲーム デッキビルドBOX 「バトルパートナーズ」(1) || 567448:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック「バトルパートナーズ」ボックス(1) || 484953:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「バトルパートナーズ」パック(0),型番なし・名前で一致
「決戦の刻」1BOX,確定,ワンピースカードゲーム ブースターパック「決戦の刻」ボックス,816932,仕入れ管理シート・商品ごとの不足数・管理画面,78,816932:ワンピースカードゲーム ブースターパック「決戦の刻」ボックス(3) || 818890:ドン!!カード (2026 vol.1): 参加記念品(プロモーションカード「決戦の刻【OP-16】発売記念イベント」)(0) || 822614:ドン!!カード: 金ドン(ブースターパック「決戦の刻」)(0) || 828208:ドン!!カード(ブースターパック「決戦の刻」)(0),型番なし・名前で一致
アビスアイ(1BOX),確定,ポケモンカードゲームMEGA 拡張パック「アビスアイ」ボックス,806644,仕入れ管理シート・仕入れ管理シートF列・商品ごとの不足数・管理画面,78,806644:ポケモンカードゲームMEGA 拡張パック「アビスアイ」ボックス(3) || 806646:【シュリンクなし】ポケモンカードゲームMEGA 拡張パック「アビスアイ」ボックス(1) || 806645:ポケモンカードゲームMEGA 拡張パック「アビスアイ」パック(0),型番なし・名前で一致
ムニキスゼロ(1BOX),確定,ポケモンカードゲームMEGA 拡張パック「ムニキスゼロ」ボックス,743533,仕入れ管理シート・商品ごとの不足数・管理画面,68,743533:ポケモンカードゲームMEGA 拡張パック「ムニキスゼロ」ボックス(3) || 743535:【シュリンクなし】ポケモンカードゲームMEGA 拡張パック「ムニキスゼロ」ボックス(1) || 743534:ポケモンカードゲームMEGA 拡張パック「ムニキスゼロ」パック(0),型番なし・名前で一致
ストームエメラルダ(1BOX),確定,ポケモンカードゲームMEGA 拡張パック「ストームエメラルダ」ボックス,846048,仕入れ管理シート・商品ごとの不足数・管理画面,65,846048:ポケモンカードゲームMEGA 拡張パック「ストームエメラルダ」ボックス(3) || 846050:【シュリンクなし】ポケモンカードゲームMEGA 拡張パック「ストームエメラルダ」ボックス(1) || 846049:ポケモンカードゲームMEGA 拡張パック「ストームエメラルダ」パック(0),型番なし・名前で一致
クリムゾンヘイズ(1BOX),確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「クリムゾンヘイズ」ボックス,204134,仕入れ管理シート・管理画面,61,204134:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「クリムゾンヘイズ」ボックス(3) || 567441:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「クリムゾンヘイズ」ボックス(1) || 204135:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「クリムゾンヘイズ」パック(0),型番なし・名前で一致
MEGAドリームex(1BOX),確定,ポケモンカードゲームMEGA ハイクラスパック「MEGAドリームex」ボックス,721913,仕入れ管理シート・仕入れ管理シートF列・商品ごとの不足数・管理画面,59,721913:ポケモンカードゲームMEGA ハイクラスパック「MEGAドリームex」ボックス(3) || 721915:【シュリンクなし】ポケモンカードゲームMEGA ハイクラスパック「MEGAドリームex」ボックス(1) || 721914:ポケモンカードゲームMEGA ハイクラスパック「MEGAドリームex」パック(0),型番なし・名前で一致
