みんトレ表記,別名,状態,メモ
Nintendo Switch2(日本語・国内専用),Nintendo Switch 2|switch|Nintendo Switch2,確定,管理画面107件がこの表記。9/17野澤さん「同一商品」
AirPods Pro 3,airpods 3,確定,
AirPods Pro(最新),,要確認,AirPods Pro 3 と同じ物か不明（登録時点の最新モデル）
AirPods Max 2 ブルー,,確定,
Apple Watch SE 3 GPSモデル 40mm,★Apple Watch (最新)|Apple watch SE 3 GPモデル40mm,確定,9/19野澤さん「同一商品」
MacBook Air (M5) 13インチ,MacBook,確定,在庫管理タブの「MacBook」＝管理画面のMacBookはこれ1種類だけ
PlayStation 5 デジタル・エディション 日本語専用,,確定,
PlayStation 5,,要確認,デジタル・エディションと同じ物か不明（通常版かもしれない）
iPhone 17 Pro 256GB(カラーランダム),,確定,
iPhone 18 Pro 256GB(カラーランダム),,確定,
