元の表記,apparel_id,メモ
ONE PIECE CARD THE BEST(1BOX),216885,2026-09-24 里沙さん: 無印(PRB-01)とvol.2は別商品。実価値24,500円=無印の相場と一致
"ONE PIECE Card Game Premium Booster ""ONE PIECE CARD THE BEST vol.2"" Box",548907,2026-09-24 里沙さん: Premium Booster vol.2 Box はvol.2と同じ商品
ピカチュウEX 094/087,91461,2026-09-24 里沙さん: 登録画像は1ED
かんこうきゃく,91269,2026-09-24 設計シートの型番 SM12a 192/173 から特定
リザードン R :1ED,91467,2026-09-24 設計シートの型番 CP6 011/087 から特定
ムサシとコジロウ,104603,2026-09-24 設計シートの型番 SM10b 062/054 から特定
ウッウ,91119,2026-09-24 設計シートの型番 S-P 226 から特定
メガゲンガーex SAR,724996,2026-09-24 設計シートの型番 M2a 240/193 から特定
レシラム&ゼクロムGX (N) SR :SA,91280,2026-09-24 設計シートの型番 SM11b 064/049 から特定
カスミのおねがい,93094,2026-09-24 設計シートの型番 SM11 104/094 から特定
ゼイユ,255643,2026-09-24 設計シートの型番 SV6 130/101 から特定
クレイバースト(1BOX),116901,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
スノーハザード(1BOX),116897,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ブラックボルトデラックス(1BOX),584774,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ブラックボルト デラックス(1BOX),584774,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ホワイトフレアデラックス(1BOX),584776,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ホワイトフレア デラックス(1BOX),584776,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ウルトラサン(1BOX),15437,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
エーフィ(マスターボールミラー)【-】{062/187} [SV8a],471609,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ポケモン151(1BOX),118914,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
名探偵ピカチュウ(1BOX),15555,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
スカーレット(1BOX),106863,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
メガリザードンEX 223/193,722239,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
イーブイ(133/165)(ミラー/マスターボール),128249,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
グレイシア(マスターボールミラー)【-】{040/187} [SV8a],471594,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
トウホクのピカチュウ,618445,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
バトルパートナーズ,484952,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
MリザードンEX,380746,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
カナザワのピカチュウ: プロモ [144],120250,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
グレイシアVMAX,93024,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
エリカのおもてなし,93089,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
カスミのコダック,543243,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
サンダーex SAR,128120,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
サーナイトex SAR(101/SV1S),109865,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ソニア SR,91203,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ミュウVMAX UR,96733,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
コイキングごっこピカチュウ プロモ,91395,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ピカチュウ(323/S-P),104514,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ピカチュウ 323 S-P,104514,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
30th CELEBRATION FUTURISTIC BOX,881424,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
世界最強の戦士(1BOX),864495,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
Pokemon GO(1BOX),58920,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
アビスアイ,806645,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ストームエメラルダ,846049,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
熱風のアリーナ,518729,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
スタートデッキ100バトルコレクション×3,724998,2026-09-24 名前・カテゴリ・管理画面の価格から特定（risa-db）
ピカチュウex,408333,2026-09-24 管理画面の登録画像 sv8 132/106 SAR（お迎えごっこピカチュウ）
名探偵ピカチュウ,135232,2026-09-24 管理画面の登録画像 098/SV-P（みんトレ70%LOOP）
フシギバナex(184/165 SR),128100,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ゴース(092/165)(ミラー/マスターボール),128210,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ニャース(052/165)(ミラー/マスターボール),128172,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ピカチュウV-UNION(025～028)[4枚セット],141447,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
強化拡張パック『サン&ムーン』(SM1+)【未開封BOX】{-} [未開封BOX],15223,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
拡張パック『25th ANNIVERSARY COLLECTION BOX』(S8a)【未開封BOX】{-} [未開封BOX],14025,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ロストアビス,86213,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
拡張パック『シールド』(S1H)【未開封BOX】{-} [未開封BOX],14673,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
拡張パック『ソード』(S1W)【未開封BOX】{-} [未開封BOX],14672,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
拡張パック第11弾 爆熱の闘士(XY11)【未開封BOX】{-} [未開封BOX],480218,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
拡張パック『ウルトラムーン』(SM5M)【未開封BOX】{-} [未開封BOX],15436,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ブラッキー068/0921ED,91795,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ピカチュウ（ピカチュウワールド）日本 (青)[PW],91662,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
"ピカチュウ AR [151 C 171/151]【中国語版】(スカーレット&バイオレット ""ポケモンカード151"")",607471,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
リザードン（CP6）No.006,91467,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
サカキのギャラドス R: 旧裏[PMCG-G2 No.130](ジム拡張第2弾 「闇からの挑戦」),92140,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ピカチュウ018/07220TH,106718,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
古代ミュウ P [SM-P 2019](プロモーションカード「映画 ミュウツーの逆襲 EVOLUTION パンフレット」),93076,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
わるいサンダースNo.135旧裏,456657,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ライコウ 旧裏 [neo3 No.243],112214,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ロケット団のミュウツーex,730958,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
メガリザードンex223/193,722239,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ブラックボルト,584770,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ジェイガルシア・サターン聖 R-RP [OP13-083](ブースターパック「受け継がれる意志」),676062,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ワンピースカードゲーム ブースターパック「決戦の刻」4パック,816933,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
Pikachu with Grey Felt Hat 085/SV-P (ゴッホピカチュウ),146897,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
拡張パック『スノーハザード』(SV2P)【未開封BOX】{-} [未開封BOX],116897,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
_のピカチュウ25th,93015,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
メガシンフォニア,628148,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
サーナイトex-デルタ種(015/025)[25th],230981,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ヒトモシ(マスターボールミラー)【C】{015/086} [SV11B],609623,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
リザードン&テールナーGX SR: SA[SM11a 068/064],91281,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
メガドリームex 5パック,721914,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
モンキー・Ｄ・ルフィ SEC-RSP (レッドコミパラ) [OP13-118],676003,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ナイトワンダーラ 1パック,261658,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ハイクラスパック 『VSTARユニバース』(S12a),101885,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ロケット団の栄光,550896,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
インフェルノX,687430,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
コダック ムンク展: プロモ[286 SM-P],100091,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
アルセウス＆ディアルガ＆パルキアGX,91274,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ミュウex,164250,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
マリィのプライド,91150,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
超電ブレイカー 1パック,395190,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
パラダイムトリガー 1パック,97142,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ソルガレオ&ルナーラGX 063/049,91279,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
クレイバースト(3パック),116899,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ポンチョを着たピカチュウ,91396,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ゲンガー＆ミミッキュGX,149334,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
カメックス,91158,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
キハダ,115237,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
レックウザVMAX,96630,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
カメックスex,128118,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
コルニの気合い,91186,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ニンフィアV,96676,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
メガフシギバナex,657363,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ケルディオex,607939,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
カメール,147475,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
デオキシスVMAX,103796,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
アルセウスV,128518,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ポンチョを着たイーブイ [141],91213,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
トウホクのピカチュウ [088],91246,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ヨコハマのピカチュウ [282],93050,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
名探偵ピカチュウ [338],93066,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
名探偵ピカチュウ [099],91122,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ビクティニ [288],585230,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ブラッキー [025],93283,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
モクロー ムンク展 [290 SM-P],100092,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
サトシゲッコウガEX [218],169062,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
モンキー・D・ルフィ [ST10-006],315324,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ポートガス・D・エース [ST15-005],744320,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
モンキー・D・ルフィ [ST13-015],300067,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
トニートニー・チョッパー C パラレル (フラシチョッパー) [ST01-006],102651,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
モンキー・D・ルフィ [P-043],167350,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
30th CELEBRATION,881421,2026-09-24 管理画面の登録画像の型番から特定（risa-db）
ONE PIECE CARD THE BEST 2,548907,2026-09-24 今川さん: 在庫管理タブの「ONE PIECE CARD THE BEST 2」はvol.2
フクオカ,618444,2026-09-24 在庫管理タブの略称＝スペシャルBOX「ポケモンセンターフクオカ」（梱包GASの SHIIRE_ALIAS と同じ）
バイオレット,106864,2026-09-24 在庫管理の略称＝バイオレットex BOX（梱包GASの寄せ方と同じ）
25th ANNIVERSARY COLLECTION,14025,2026-09-24 在庫管理の略称＝25th アニバーサリー コレクション BOX
25th GOLDEN BOX,15595,2026-09-24 在庫管理の略称＝25th アニバーサリー ゴールデンボックス
カオス・オリジンズ(1BOX),859067,2026-09-24 里沙さん: 7,777円の通常BOX（+1付きは売り方の標準で同じ商品）
