型番,カード名,レアリティ,画像URL,画像タイトル,参照価格,元URL,カテゴリ,デフォルト動画,デフォルトバッジ,dopaID,wp_id,source
288/SM-P,ピカチュウ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/288-SM-P_minnanotoreca-10285316.webp,ピカチュウ（P）[288/SM-P],,https://dopa-game.jp/pokemon/dp/10285316,,,,10285316,28295,DOPA
066/060,リーリエ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/066-060_minnanotoreca-10285315.webp,リーリエ（SR）[066/060],,https://dopa-game.jp/pokemon/dp/10285315,,,,10285315,28296,DOPA
239/SM-P,ゼクロムGX,P,https://minnano-toreka.com/wp-content/uploads/2026/08/239-SM-P_minnanotoreca-10288942.webp,ゼクロムGX（P）[239/SM-P],,https://dopa-game.jp/pokemon/dp/10288942,,,,10288942,28297,DOPA
289/SM-P,ミミッキュ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/289-SM-P_minnanotoreca-10297368.webp,ミミッキュ（P）[289/SM-P],,https://dopa-game.jp/pokemon/dp/10297368,,,,10297368,28298,DOPA
094/087,ピカチュウEX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/094-087_minnanotoreca-10334681.webp,ピカチュウEX（SR）[094/087],,https://dopa-game.jp/pokemon/dp/10334681,,,,10334681,28299,DOPA
181/171,オカルトマニア,-,https://minnano-toreka.com/wp-content/uploads/2026/08/181-171_minnanotoreca-10288939.webp,オカルトマニア（-）[181/171],,https://dopa-game.jp/pokemon/dp/10288939,,,,10288939,28300,DOPA
095/069,ブラッキーVMAX,HR,https://minnano-toreka.com/wp-content/uploads/2026/08/095-069_minnanotoreca-10288941.webp,ブラッキーVMAX（HR）[095/069],,https://dopa-game.jp/pokemon/dp/10288941,,,,10288941,28301,DOPA
083/067,レックウザVMAX,HR,https://minnano-toreka.com/wp-content/uploads/2026/08/083-067_minnanotoreca-10288940.webp,レックウザVMAX（HR）[083/067],,https://dopa-game.jp/pokemon/dp/10288940,,,,10288940,28302,DOPA
400/SM-P,ピカチュウ/リミテッドコレクション/SR仕様,SM-P(SR仕様),https://minnano-toreka.com/wp-content/uploads/2026/08/400-SM-P_minnanotoreca-10341085.webp,ピカチュウ/リミテッドコレクション/SR仕様（SM-P(SR仕様)）[400/SM-P],,https://dopa-game.jp/pokemon/dp/10341085,,,,10341085,28303,DOPA
010/032,ピカチュウ,RR,https://minnano-toreka.com/wp-content/uploads/2026/08/010-032_minnanotoreca-10289444.webp,ピカチュウ（RR）[010/032],,https://dopa-game.jp/pokemon/dp/10289444,,,,10289444,28304,DOPA
227/S-P,ピカチュウ/見返り美人,P,https://minnano-toreka.com/wp-content/uploads/2026/08/227-S-P_minnanotoreca-10240129.webp,ピカチュウ/見返り美人（P）[227/S-P],,https://dopa-game.jp/pokemon/dp/10240129,,,,10240129,28305,DOPA
153/SV-P,ピカチュウ(未開封/中国繁体字版),P,https://minnano-toreka.com/wp-content/uploads/2026/08/153-SV-P_minnanotoreca-10335642.webp,ピカチュウ(未開封/中国繁体字版)（P）[153/SV-P],,https://dopa-game.jp/pokemon/dp/10335642,,,,10335642,28306,DOPA
