型番,カード名,レアリティ,画像URL,画像タイトル,参照価格,元URL,カテゴリ,デフォルト動画,デフォルトバッジ,dopaID,wp_id,source
OP04-039,レベッカ(パラレル/illust:Studio Vigor Co.Ltd),L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP04-039_minnanotoreca-10238722-1.webp,レベッカ(パラレル/illust:Studio Vigor Co.Ltd)（L）[OP04-039],,https://dopa-game.jp/one-piece/dp/10238722,,,,10238722,30650,DOPA(ワンピ)
OP01-002,トラファルガー・ロー(パラレル/漫画絵),L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-002_minnanotoreca-10238723-1.webp,トラファルガー・ロー(パラレル/漫画絵)（L）[OP01-002],,https://dopa-game.jp/one-piece/dp/10238723,,,,10238723,30651,DOPA(ワンピ)
OP04-044,カイドウ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP04-044_minnanotoreca-10238941-1.webp,カイドウ（SR）[OP04-044],,https://dopa-game.jp/one-piece/dp/10238941,,,,10238941,30652,DOPA(ワンピ)
OP01-078,ボア・ハンコック,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-078_minnanotoreca-10239039.webp,ボア・ハンコック（SR）[OP01-078],,https://dopa-game.jp/one-piece/dp/10239039,,,,10239039,30653,DOPA(ワンピ)
OP02-120,ウタ,SEC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP02-120_minnanotoreca-10239042.webp,ウタ（SEC）[OP02-120],,https://dopa-game.jp/one-piece/dp/10239042,,,,10239042,30654,DOPA(ワンピ)
OP06-118,ロロノア・ゾロ,SEC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-118_minnanotoreca-10239521.webp,ロロノア・ゾロ（SEC）[OP06-118],,https://dopa-game.jp/one-piece/dp/10239521,,,,10239521,30655,DOPA(ワンピ)
OP01-001,ロロノア・ゾロ,L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-001_minnanotoreca-10239548.webp,ロロノア・ゾロ（L）[OP01-001],,https://dopa-game.jp/one-piece/dp/10239548,,,,10239548,30656,DOPA(ワンピ)
OP02-120,ウタ(パラレル/和柄/illust:S-KINOKO),SEC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP02-120_minnanotoreca-10239551.webp,ウタ(パラレル/和柄/illust:S-KINOKO)（SEC）[OP02-120],,https://dopa-game.jp/one-piece/dp/10239551,,,,10239551,30657,DOPA(ワンピ)
OP01-006,お玉,UC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-006_minnanotoreca-10239587.webp,お玉（UC）[OP01-006],,https://dopa-game.jp/one-piece/dp/10239587,,,,10239587,30658,DOPA(ワンピ)
OP01-077,ペローナ,UC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-077_minnanotoreca-10239588.webp,ペローナ（UC）[OP01-077],,https://dopa-game.jp/one-piece/dp/10239588,,,,10239588,30659,DOPA(ワンピ)
OP05-091,レベッカ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP05-091_minnanotoreca-10239593.webp,レベッカ（SR）[OP05-091],,https://dopa-game.jp/one-piece/dp/10239593,,,,10239593,30660,DOPA(ワンピ)
OP04-001,ネフェルタリ・ビビ,L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP04-001_minnanotoreca-10239607.webp,ネフェルタリ・ビビ（L）[OP04-001],,https://dopa-game.jp/one-piece/dp/10239607,,,,10239607,30661,DOPA(ワンピ)
OP01-003,モンキー・D・ルフィ(パラレル/漫画絵),L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-003_minnanotoreca-10239615.webp,モンキー・D・ルフィ(パラレル/漫画絵)（L）[OP01-003],,https://dopa-game.jp/one-piece/dp/10239615,,,,10239615,30662,DOPA(ワンピ)
OP01-121,ヤマト,SEC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-121_minnanotoreca-10239616.webp,ヤマト（SEC）[OP01-121],,https://dopa-game.jp/one-piece/dp/10239616,,,,10239616,30663,DOPA(ワンピ)
OP02-013,ポートガス・D・エース,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP02-013_minnanotoreca-10239619.webp,ポートガス・D・エース（SR）[OP02-013],,https://dopa-game.jp/one-piece/dp/10239619,,,,10239619,30664,DOPA(ワンピ)
OP03-123,シャーロット・カタクリ,SEC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP03-123_minnanotoreca-10239624.webp,シャーロット・カタクリ（SEC）[OP03-123],,https://dopa-game.jp/one-piece/dp/10239624,,,,10239624,30665,DOPA(ワンピ)
OP06-022,ヤマト,L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-022_minnanotoreca-10239626.webp,ヤマト（L）[OP06-022],,https://dopa-game.jp/one-piece/dp/10239626,,,,10239626,30666,DOPA(ワンピ)
ST01-007,ナミ,C,https://minnano-toreka.com/wp-content/uploads/2026/08/ST01-007_minnanotoreca-10239627.webp,ナミ（C）[ST01-007],,https://dopa-game.jp/one-piece/dp/10239627,,,,10239627,30667,DOPA(ワンピ)
OP04-019,ドンキホーテ・ドフラミンゴ,L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP04-019_minnanotoreca-10239662.webp,ドンキホーテ・ドフラミンゴ（L）[OP04-019],,https://dopa-game.jp/one-piece/dp/10239662,,,,10239662,30668,DOPA(ワンピ)
OP03-001,ポートガス・D・エース,L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP03-001_minnanotoreca-10239663.webp,ポートガス・D・エース（L）[OP03-001],,https://dopa-game.jp/one-piece/dp/10239663,,,,10239663,30669,DOPA(ワンピ)
OP06-104,菊之丞,R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-104_minnanotoreca-10239668.webp,菊之丞（R）[OP06-104],,https://dopa-game.jp/one-piece/dp/10239668,,,,10239668,30670,DOPA(ワンピ)
ST05-004,ウタ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/ST05-004_minnanotoreca-10239670.webp,ウタ（SR）[ST05-004],,https://dopa-game.jp/one-piece/dp/10239670,,,,10239670,30671,DOPA(ワンピ)
ST06-008,ヒナ,C,https://minnano-toreka.com/wp-content/uploads/2026/08/ST06-008_minnanotoreca-10239672.webp,ヒナ（C）[ST06-008],,https://dopa-game.jp/one-piece/dp/10239672,,,,10239672,30672,DOPA(ワンピ)
ST11-002,ウタ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/ST11-002_minnanotoreca-10239673.webp,ウタ（SR）[ST11-002],,https://dopa-game.jp/one-piece/dp/10239673,,,,10239673,30673,DOPA(ワンピ)
OP06-086,ゲッコー・モリア,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-086_minnanotoreca-10239675.webp,ゲッコー・モリア（SR）[OP06-086],,https://dopa-game.jp/one-piece/dp/10239675,,,,10239675,30674,DOPA(ワンピ)
OP06-107,光月モモの助,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-107_minnanotoreca-10239677.webp,光月モモの助（SR）[OP06-107],,https://dopa-game.jp/one-piece/dp/10239677,,,,10239677,30675,DOPA(ワンピ)
OP06-107,光月モモの助,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-107_minnanotoreca-10239679.webp,光月モモの助（SR）[OP06-107],,https://dopa-game.jp/one-piece/dp/10239679,,,,10239679,30676,DOPA(ワンピ)
P-058,風のゆくえ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/P-058_minnanotoreca-10239779.webp,風のゆくえ（P）[P-058],,https://dopa-game.jp/one-piece/dp/10239779,,,,10239779,30677,DOPA(ワンピ)
