型番,カード名,レアリティ,画像URL,画像タイトル,元URL,source,src_admin_id
288/SV-P,ビクティニ,,https://minnano-toreka.com/wp-content/uploads/2026/07/288-SV-P_pcg-a25961.webp,ビクティニ[288/SV-P],https://www.pokemon-card.com/assets/images/card_images/large/SV-P/047725_P_BIKUTEINI.jpg,公式,25961
205/193,ロケット団のミミッキュ,,https://minnano-toreka.com/wp-content/uploads/2026/07/205-193_pcg-a25714.webp,ロケット団のミミッキュ[205/193],https://www.pokemon-card.com/assets/images/card_images/large/M2a/049965_P_ROKETTODANNOMIMIKKIXYU.jpg,公式,25714
231/193,メガズルズキンex,,https://minnano-toreka.com/wp-content/uploads/2026/07/231-193_pcg-a25711.webp,メガズルズキンex[231/193],https://www.pokemon-card.com/assets/images/card_images/large/M2a/049991_P_MZURUZUKINEX.jpg,公式,25711
048/DP-P,ピカチュウ,,https://minnano-toreka.com/wp-content/uploads/2026/07/048-DP-P_crush-a25673.webp,ピカチュウ[048/DP-P],https://www.cardrush-pokemon.jp/product/20941,カードラッシュ,25673
271/SV-P,ビクティニ,,https://minnano-toreka.com/wp-content/uploads/2026/07/271-SV-P_pcg-a24359.webp,ビクティニ[271/SV-P],https://www.pokemon-card.com/assets/images/card_images/large/SV-P/049619_P_BIKUTEINI.jpg,公式,24359
018/086,ミジュマル,,https://minnano-toreka.com/wp-content/uploads/2026/07/018-086_pcg-a24145.webp,ミジュマル[018/086],https://www.pokemon-card.com/assets/images/card_images/large/SV11W/047640_P_MIJIXYUMARU.jpg,公式,24145
021/086,バスラオ,,https://minnano-toreka.com/wp-content/uploads/2026/07/021-086_pcg-a24142.webp,バスラオ[021/086],https://www.pokemon-card.com/assets/images/card_images/large/SV11W/047643_P_BASURAO.jpg,公式,24142
061/086,ジヘッド,,https://minnano-toreka.com/wp-content/uploads/2026/07/061-086_pcg-a24104.webp,ジヘッド[061/086],https://www.pokemon-card.com/assets/images/card_images/large/SV11W/047683_P_JIHEDDO.jpg,公式,24104
064/086,ナットレイ,,https://minnano-toreka.com/wp-content/uploads/2026/07/064-086_pcg-a24102.webp,ナットレイ[064/086],https://www.pokemon-card.com/assets/images/card_images/large/SV11W/047686_P_NATTOREI.jpg,公式,24102
038/086,ムンナ,,https://minnano-toreka.com/wp-content/uploads/2026/07/038-086_pcg-a23998.webp,ムンナ[038/086],https://www.pokemon-card.com/assets/images/card_images/large/SV11B/047574_P_MUNNA.jpg,公式,23998
076/086,タブンネ,,https://minnano-toreka.com/wp-content/uploads/2026/07/076-086_pcg-a23963.webp,タブンネ[076/086],https://www.pokemon-card.com/assets/images/card_images/large/SV11B/047612_P_TABUNNE.jpg,公式,23963
132/100,スパイクエネルギー,,https://minnano-toreka.com/wp-content/uploads/2026/07/132-100_pcg-a23746.webp,スパイクエネルギー[132/100],https://www.pokemon-card.com/assets/images/card_images/large/SV9/047252_E_SUPAIKUENERUGI.jpg,公式,23746
199/SV-P,リーリエのキュワワー,,https://minnano-toreka.com/wp-content/uploads/2026/07/199-SV-P_pcg-a23616.webp,リーリエのキュワワー[199/SV-P],https://www.pokemon-card.com/assets/images/card_images/large/SV-P/047164_P_RIRIENOKIXYUWAWA.jpg,公式,23616
092/063,ハッコウシティ,,https://minnano-toreka.com/wp-content/uploads/2026/07/092-063_pcg-a23580.webp,ハッコウシティ[092/063],https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047393_T_HAKKOUSHITEI.jpg,公式,23580
139/187,カウンターキャッチャー,,https://minnano-toreka.com/wp-content/uploads/2026/07/139-187_pcg-a23363.webp,カウンターキャッチャー[139/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046800_T_KAUNTAKIXYATCHIXYA.jpg,公式,23363
145/187,テラスタルオーブ,,https://minnano-toreka.com/wp-content/uploads/2026/07/145-187_pcg-a23359.webp,テラスタルオーブ[145/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046806_T_TERASUTARUOBU.jpg,公式,23359
157/187,ブーストエナジー 古代,,https://minnano-toreka.com/wp-content/uploads/2026/07/157-187_pcg-a23353.webp,ブーストエナジー 古代[157/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046818_T_BUSUTOENAJIKODAI.jpg,公式,23353
160/187,ワザマシン エヴォリューション,,https://minnano-toreka.com/wp-content/uploads/2026/07/160-187_pcg-a23351.webp,ワザマシン エヴォリューション[160/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046821_T_WAZAMASHINEVUORIXYUSHIXYON.jpg,公式,23351
133/187,バッフロン,,https://minnano-toreka.com/wp-content/uploads/2026/07/133-187_pcg-a23268.webp,バッフロン[133/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046794_P_BAFFURON.jpg,公式,23268
001/187,スボミー,,https://minnano-toreka.com/wp-content/uploads/2026/07/001-187_pcg-a23266.webp,スボミー[001/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046662_P_SUBOMI.jpg,公式,23266
068/187,ニンフィア,,https://minnano-toreka.com/wp-content/uploads/2026/07/068-187_pcg-a23217.webp,ニンフィア[068/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046729_P_NINFUIA.jpg,公式,23217
092/187,ブラッキー,,https://minnano-toreka.com/wp-content/uploads/2026/07/092-187_pcg-a23198.webp,ブラッキー[092/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046753_P_BURAKKI.jpg,公式,23198
100/187,トドロクツキ,,https://minnano-toreka.com/wp-content/uploads/2026/07/100-187_pcg-a23191.webp,トドロクツキ[100/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046761_P_TODOROKUTSUKI.jpg,公式,23191
001/187,スボミー,,https://minnano-toreka.com/wp-content/uploads/2026/07/001-187_pcg-a23166.webp,スボミー[001/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046662_P_SUBOMI.jpg,公式,23166
005/187,エルフーン,,https://minnano-toreka.com/wp-content/uploads/2026/07/005-187_pcg-a23163.webp,エルフーン[005/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046666_P_ERUFUN.jpg,公式,23163
006/187,サルノリ,,https://minnano-toreka.com/wp-content/uploads/2026/07/006-187_pcg-a23162.webp,サルノリ[006/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046667_P_SARUNORI.jpg,公式,23162
007/187,バチンキー,,https://minnano-toreka.com/wp-content/uploads/2026/07/007-187_pcg-a23161.webp,バチンキー[007/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046668_P_BACHINKI.jpg,公式,23161
011/187,アノクサ,,https://minnano-toreka.com/wp-content/uploads/2026/07/011-187_pcg-a23158.webp,アノクサ[011/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046672_P_ANOKUSA.jpg,公式,23158
012/187,アノホラグサ,,https://minnano-toreka.com/wp-content/uploads/2026/07/012-187_pcg-a23157.webp,アノホラグサ[012/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046673_P_ANOHORAGUSA.jpg,公式,23157
013/187,シガロコ,,https://minnano-toreka.com/wp-content/uploads/2026/07/013-187_pcg-a23156.webp,シガロコ[013/187],https://www.pokemon-card.com/assets/images/card_images/large/SV8a/046674_P_SHIGAROKO.jpg,公式,23156
