mintore_name,aid,kata,name,rarity,item_type,game
AZ SR [XY4 093/088],390655,093/088,AZ,SR,single,ポケカ
AZ SR: 1ED [XY4 093/088],91539,093/088,AZ SR :1ED,,single,ポケカ
AZ U [XY4 084/088],390644,084/088,AZ,U,single,ポケカ
AZ U: 1ED [XY4 084/088],390643,084/088,AZ U :1ED,,single,ポケカ
AZ UR [117/119]【英語版】,504885,117/119,AZ,UR,single,ポケカ
AZ [XY 138/171],385981,138/171,AZ,,single,ポケカ
AZ: ミラー [XY 138/171],386097,138/171,AZ :ミラー,,single,ポケカ
AZの安らぎ SAR [M4 118/083],776369,118/083,AZの安らぎ,SAR,single,ポケカ
AZの安らぎ SIR [CRI EN 120/086]【英語版】,828328,120/086,AZの安らぎ,SIR,single,ポケカ
AZの安らぎ SR [M4 108/083],776359,108/083,AZの安らぎ,SR,single,ポケカ
AZの安らぎ U [CRI EN 76/086]【英語版】,828284,76/086,AZの安らぎ,U,single,ポケカ
AZの安らぎ U [M4 075/083],774222,075/083,AZの安らぎ,U,single,ポケカ
AZの安らぎ UR [CRI EN 106/086]【英語版】,828314,106/086,AZの安らぎ,UR,single,ポケカ
GR団のミュウツー: 旧裏/プロモ [neo-P No.150],92096,NEO-PNO.150,GR団のミュウツー: 旧裏/,プロモ,single,ポケカ
Gスコープ R [BW9 074/076],406750,074/076,Gスコープ,R,single,ポケカ
Gスコープ R: 1ED [BW9 074/076],406749,074/076,Gスコープ R :1ED,,single,ポケカ
Gブースター R [BW9 075/076],406752,075/076,Gブースター,R,single,ポケカ
Gブースター R: 1ED [BW9 075/076],406751,075/076,Gブースター R :1ED,,single,ポケカ
MCのおしゃべり [B 010/010](バトルスタートデッキ「カメックス」),562741,010/010,MCのおしゃべり,,single,ポケカ
MCのおしゃべり [B 010/010](バトルスタートデッキ「ドダイトス」),562720,010/010,MCのおしゃべり,,single,ポケカ
MCのおしゃべり [B 010/011],562752,010/011,MCのおしゃべり,,single,ポケカ
MCのおしゃべり [E 012/014],562781,012/014,MCのおしゃべり,,single,ポケカ
MCのおしゃべり [E 013/015],562767,013/015,MCのおしゃべり,,single,ポケカ
MCの盛り上げ C [M6 067/076],866254,067/076,MCの盛り上げ,C,single,ポケカ
MCの盛り上げ C [SV9a 061/063],541093,061/063,MCの盛り上げ,C,single,ポケカ
MCの盛り上げ SR [M6 100/076],868606,100/076,MCの盛り上げ,SR,single,ポケカ
MCの盛り上げ SR [SV9a 082/063],546112,082/063,MCの盛り上げ,SR,single,ポケカ
MCの盛り上げ UR [DRI EN 220/240]【英語版】,606024,220/240,MCの盛り上げ,UR,single,ポケカ
MアブソルEX P [XY-P],413467,XY-P/XY-P,MアブソルEX,P,single,ポケカ
MアブソルEX P [XY63]【英語版】,509294,XY63,MアブソルEX,P,single,ポケカ
MエルレイドEX RR [XY6 031/078],382107,031/078,MエルレイドEX,RR,single,ポケカ
MエルレイドEX RR: 1ED [XY6 031/078],382106,031/078,MエルレイドEX RR :1ED,,single,ポケカ
MエルレイドEX SR [XY6 081/078],382203,081/078,MエルレイドEX,SR,single,ポケカ
