kata,name,rarity,item_type,sale,ask,updated,aid
001/002,ピカチュウ☆,,single,5480000,7000000,2026-08-19,91754
001/004,ブースターVMAX,,single,11500,10000,2026-08-19,100086
001/004,モクロー,,single,7980,,2026-08-19,386614
001/005,ピカチュウオンザボール,プロモ,single,,148000,2026-08-19,746154
001/006,はくばバドレックスV,,single,,9999,2026-08-19,293063
001/009,氷空のシェイミ,,single,24000,23800,2026-08-19,450654
001/009,ポケパークのセレビィ,,single,,219999,2026-08-19,433866
001/010,ピカチュウ,,single,43300,49999,2026-08-19,107355
001/011,ピカチュウ,,single,228000,170000,2026-08-19,562742
001/015,ピカチュウ,プロモ,single,630000,770000,2026-08-19,452789
001/015,ピカチュウV ビニールなし,,single,220000,210000,2026-08-19,91155
001/015,ピカチュウV ビニール未開封,,single,,500000,2026-08-19,95803
001/016,ミュウツー,,single,800000,550000,2026-08-19,410110
001/016,リザードンG :1ED,,single,200000,258000,2026-08-19,450321
001/016,リザードンG ギンガ,,single,108000,,2026-08-19,93203
001/016,フシギバナ,,single,99900,520000,2026-08-19,93197
001/016,コダック,,single,44000,,2026-08-19,381290
001/018,フシギダネ,,single,300000,250000,2026-08-19,110815
001/018,ヒトカゲ,,single,130000,,2026-08-19,110592
001/018,リオンのアリアドス,,single,28399,35000,2026-08-19,110737
001/019,ゲンガーV,,single,9300,9200,2026-08-19,292564
001/020,コダック,,single,199900,,2026-08-19,446591
001/020,ミュウツーex,,single,12912,12800,2026-08-19,136229
001/020,カメックスV,,single,7500,11800,2026-08-19,377911
001/020,ヒトデマン :ミラー,,single,3799,,2026-08-19,288977
001/021,ビクティニ,,single,65000,,2026-08-19,408886
001/021,ミュウツー,,single,49900,,2026-08-19,391800
001/021,リザードンV,,single,19999,23999,2026-08-19,378940
001/021,リザードンEX,,single,19500,19800,2026-08-19,380869
001/021,ピカチュウex,,single,10000,8500,2026-08-19,856875
001/021,リザードンV,,single,9100,9000,2026-08-19,377870
001/021,フシギバナV,,single,4800,,2026-08-19,377931
001/022,チコリータM,,single,36500,65000,2026-08-19,683721
001/024,ピカチュウ: ミラー,,single,39999,34000,2026-08-19,102309
001/024,ピカチュウV,,single,30000,29999,2026-08-19,100081
001/024,ピカチュウ,,single,24800,25800,2026-08-19,377598
001/024,フシギダネ,C,single,,18500,2026-08-19,396620
001/025,リザードン,プロモ,single,120000,117500,2026-08-19,91156
001/026,モクロー,,single,,53600,2026-08-19,390710
001/026,シキジカ,,single,,49000,2026-08-19,381367
001/028,ピカチュウ: ミラー,,single,19300,18900,2026-08-19,141411
001/028,ピカチュウ,,single,8000,8000,2026-08-19,141410
001/029,フシギダネ :1ED,,single,150000,,2026-08-19,429131
001/030,ピカチュウex,,single,91000,94500,2026-08-19,131236
001/030,リザードンV,,single,9200,9800,2026-08-19,325078
001/031,エーフィ&デオキシスGX,,single,12890,12850,2026-08-19,392832
001/032,チコリータ C :1ED,,single,30890,33333,2026-08-19,385654
001/032,ゼニガメ,,single,11800,11400,2026-08-19,147472
001/032,ヒトカゲ,,single,11198,11198,2026-08-19,147471
001/032,フシギダネ,,single,8000,8099,2026-08-19,147470
001/033,エンテイex,,single,,250000,2026-08-19,431654
001/034,マグマ団のドンメル C :1ED,,single,,100000,2026-08-19,381927
001/036,セレビィ :1ED,,single,64000,39800,2026-08-19,385691
001/038,ブースターGX,,single,10000,9800,2026-08-19,392710
001/038,かがやくリザードン,,single,7555,6980,2026-08-19,132435
001/044,かがやくリザードン,,single,8199,7980,2026-08-19,320158
001/049,リザードンEX,,single,24800,36000,2026-08-19,381053
001/051,ビードル C :1ED,,single,4980,,2026-08-19,404128
001/053,ヒトカゲ,C,single,,30000,2026-08-19,391674
001/054,モクロー&アローラナッシーGX,RR,single,12900,14000,2026-08-19,393124
001/054,フェローチェ&マッシブーンGX,RR,single,6800,6800,2026-08-19,393243
